Student,LPIPS,SSIM
113590056.png,0.0,1.0
112590452.png,0.21643099188804626,0.7262816452779649
111590047.png,0.23885174095630646,0.727297259375518
113370239.png,0.25769948959350586,0.7073296275361771
113AC1012.png,0.26653218269348145,0.6597701319165494
113590450.png,0.26882264018058777,0.6904626631720282
113590051.png,0.2704702615737915,0.6676186700125718
113590031.png,0.27229195833206177,0.6933647664157919
113590039.png,0.2761320471763611,0.6777019100040717
113590033.png,0.27668631076812744,0.6634120739654986
113590026.png,0.2807196080684662,0.7150288448656713
114054809.png,0.29708802700042725,0.6560536898955457
113590057.png,0.302196204662323,0.6199720254478935
113590052.png,0.30545467138290405,0.644963209190386
113590044.png,0.30714911222457886,0.6383233065171989
113590045.png,0.3090270459651947,0.6104601586205705
110590455.png,0.30918943881988525,0.6567688691229774
113590001.png,0.3101191520690918,0.6472826740538026
111590028.png,0.3161231279373169,0.665394675166145
113590061.png,0.31659653782844543,0.6567053586852438
112590454.png,0.3204604983329773,0.6493068860744936
113590022.png,0.32048261165618896,0.6440401625031381
113AB0018.png,0.32618460059165955,0.5868643832018056
113590040.png,0.33111050724983215,0.685573878554129
113590060.png,0.3315587341785431,0.6877473562854713
113590021.png,0.3323230743408203,0.6124399125901198
113590003.png,0.33451104164123535,0.6434626883919965
113590015.png,0.3357557952404022,0.6455462869237667
111590062.png,0.3359932601451874,0.6550843263855015
113590011.png,0.3545547425746918,0.5891435021341898
113590005.png,0.35852721333503723,0.7008298323286601
113590062.png,0.36343127489089966,0.5743428380619783
113590059.png,0.3652329444885254,0.592860497159971
112590040.png,0.36714503169059753,0.6257640378894201
113590036.png,0.3792582154273987,0.6184591019000509
113590047.png,0.3798757791519165,0.714744005696955
113590032.png,0.38215509057044983,0.6743072577793273
113590050.png,0.3842419683933258,0.5314604895119527
112590455.png,0.39051589369773865,0.619632917565021
113590018.png,0.39107275009155273,0.5884131748975125
113590028.png,0.39696061611175537,0.6062399415081297
113590006.png,0.39704322814941406,0.573942904257999
113590023.png,0.39981716871261597,0.5222144852870964
113590004.png,0.4014589190483093,0.7204238877111206
113590010.png,0.4121132791042328,0.6171464768645857
113590002.png,0.4186423718929291,0.5995129974378305
113590049.png,0.4187670946121216,0.5285678069044245
113590025.png,0.422817587852478,0.7287375226643729
113590043.png,0.4246901869773865,0.7302679458869481
111590042.png,0.45337584614753723,0.7372845924437259
111590455.png,0.4640688896179199,0.5523285541443841
113590042.png,0.46946293115615845,0.5623099295575825
113590008.png,0.4975287914276123,0.47932762653008953
112590058.jpg,0.515011727809906,0.434500064785185
113590013.png,0.5299622416496277,0.4163245537477982
